word|origins|part_of_speech|pronunciation|meaning
hatchling|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/hatchling_us_1.mp3|a young animal that has recently emerged from its egg.
griffonage|Unknown|noun|/home/pi/griffonage.mp3|ácareless handwritingá:áa crude or illegible scrawl
marcel|late 19th century: named after Marcel Grateau (1852–1936), the Parisian hairdresser who invented it.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/marcel--_gb_2.mp3|a deep artificial wave in the hair.
mayhem|early 16th century: from Old French mayhem (see maim). The sense ‘disorder’ (originally US) dates from the late 19th century.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/mayhem--_gb_1.mp3|violent or extreme disorder; chaos.
smorgasbord|Swedish, from smörgås ‘(slice of) bread and butter’ (from smör ‘butter’ + gås ‘goose, lump of butter’) + bord ‘table’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/smorgasbord--_gb_1.mp3|a range of open sandwiches and delicacies served as hors d'oeuvres or a buffet.
oleiculture|Unknown|noun|/home/pi/oleiculture.mp3|"the production, processing, and marketing of olives"
kakapo|mid 19th century: from Maori, literally ‘night kaka’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/kakapo--_gb_1.8.mp3|a large flightless New Zealand parrot with greenish plumage, which is nocturnal, ground-dwelling, and now endangered.
univocal|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/univocal_us_1.mp3|(of a word or term) having only one possible meaning; unambiguous
moisture|late Middle English (denoting moistness): from Old French moistour, from moiste (see moist).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/moisture--_gb_1.mp3|water or other liquid diffused in a small quantity as vapour, within a solid, or condensed on a surface.
nutria|early 19th century: from Spanish, literally ‘otter’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/nutria--_gb_1.mp3|the skin or fur of the coypu.
rabid|early 17th century (in the sense ‘furious, madly violent’): from Latin rabidus, from rabere ‘to rave’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/rabid--_gb_1.mp3|having or proceeding from an extreme or fanatical support of or belief in something.;(of an animal) affected with rabies.
whine|Old English hwīnan  ‘whistle through the air’, related to whinge. The noun dates from the mid 17th century.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/whine--_gb_1.mp3|a long, high-pitched complaining cry.
xenoglossy|Unknown|noun|/home/pi/xenoglossy.mp3|purported use (as by a medium) while in a trance state of a language unknown to the individual under normal conditions
commorients|Unknown|noun|/home/pi/commorients.mp3|one of two or a number of persons perishing at the same time by the same calamity
jabberwocky|early 20th century: from the title of a nonsense poem in Lewis Carroll's Through the Looking Glass (1871).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/jabberwocky--_gb_1.8.mp3|invented or meaningless language; nonsense.
stevedore|late 18th century: from Spanish estivador, from estivar ‘stow a cargo’, from Latin stipare (see steeve2).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/stevedore--_gb_1.mp3|a person employed at a dock to load and unload ships.
corrigenda|early 19th century: Latin, neuter gerundive of corrigere ‘bring into order’ (see correct).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/corrigendum--_gb_1.mp3|a thing to be corrected, typically an error in a printed book.
prodigious|late 15th century (in the sense ‘portentous’): from Latin prodigiosus, from prodigium ‘portent’ (see prodigy).|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/prodigious--_gb_1.mp3|remarkably or impressively great in extent, size, or degree.;unnatural or abnormal.
spider|late Old English spīthra, from spinnan (see spin).|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/spider--_gb_1.mp3|an eight-legged predatory arachnid with an unsegmented body consisting of a fused head and thorax and a rounded abdomen. Spiders have fangs which inject poison into their prey, and most kinds spin webs in which to capture insects.;an object resembling a spider, especially one having numerous or prominent legs or radiating spokes.;another term for crawler (sense 2).
pedicure|mid 19th century: from French pédicure, from Latin pes, ped- ‘foot’ + curare ‘attend to’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/pedicure--_gb_1.mp3|a cosmetic treatment of the feet and toenails.
carnival|mid 16th century: from Italian carnevale, carnovale, from medieval Latin carnelevamen, carnelevarium ‘Shrovetide’, from Latin caro, carn- ‘flesh’ + levare ‘put away’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/carnival--_gb_1.mp3|an annual festival, typically during the week before Lent in Roman Catholic countries, involving processions, music, dancing, and the use of masquerade.;a travelling funfair or circus.
disembogue|late 16th century: from Spanish desembocar, from des- (expressing reversal) + embocar ‘run into a creek or strait’ (based on boca ‘mouth’).|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/disembogue--_gb_1.8.mp3|(of a river or stream) emerge or be discharged into the sea or a larger river.
neaten|Etymology Unknown|verb|https://audio.oxforddictionaries.com/en/mp3/neaten_us_1.mp3|make neat; arrange in an orderly, tidy way
purple|Old English (describing the clothing of an emperor), alteration of purpre, from Latin purpura ‘purple’, from Greek porphura, denoting molluscs that yielded a crimson dye, also cloth dyed with this.|noun;adjective;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/purple--_gb_1.8.mp3|a colour intermediate between red and blue.;a crimson dye obtained from some molluscs, formerly used for fabric worn by an emperor or senior magistrate in ancient Rome or Byzantium.
na|from modern Latin natrium;Etymology Unknown|residual;adverb|https://audio.oxforddictionaries.com/en/mp3/na_us_1.mp3;//ssl.gstatic.com/dictionary/static/sounds/20200429/word--_gb_1.8.mp3|National Army.;numerical aperture.;the chemical element sodium.;North America.;not applicable.
occur|late 15th century: from Latin occurrere ‘go to meet, present itself’, from ob- ‘against’ + currere ‘to run’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/occur--_gb_1.mp3|happen; take place.
oppidan|mid 16th century: from Latin oppidanus ‘belonging to a town (other than Rome)’, from oppidum ‘fortified town’.|noun;adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/oppidan--_gb_1.mp3|(at Eton College) a pupil who boards in town rather than in the school itself.
emancipatory|Etymology Unknown|adjective|/home/pi/emancipatory.mp3|free, release, liberate, set free
portugais|Unknown|noun|/home/pi/portugais.mp3|black angelfish
vaccary|Unknown|noun|/home/pi/vaccary.mp3|a place where cows or cattle are keptá:ácow pastureá:ádairy farm
muchacha|Spanish.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/muchacho--_gb_1.mp3|(in Spanish-speaking countries) a young man (or woman).
solder|Middle English: from Old French soudure, from the verb souder, from Latin solidare ‘fasten together’, from solidus ‘solid’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/solder--_gb_1.mp3|a low-melting alloy, especially one based on lead and tin or (for higher temperatures) on brass or silver, used for joining less fusible metals.
leviathan|via late Latin from Hebrew liwyāṯān .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/leviathan--_gb_1.8.mp3|(in biblical use) a sea monster, identified in different passages with the whale and the crocodile (e.g. Job 41, Ps. 74:14), and with the Devil (after Isa. 27:1).
aioli|French aïoli, from Provençal ai ‘garlic’ + oli ‘oil’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/aioli--_gb_1.mp3|mayonnaise seasoned with garlic.
tristeza|Unknown|noun|/home/pi/tristeza.mp3|a highly infectious disease of grafted citrus trees with bitter orange rootstocks attributed to a virus and characterized by rotting of the rootlets and consequent wilting and death of the trees
testosterone|1930s: from testis + sterone (blend of sterol and ketone).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/testosterone--_gb_1.mp3|a steroid hormone that stimulates development of male secondary sexual characteristics, produced mainly in the testes, but also in the ovaries and adrenal cortex.
blemish|late Middle English (as a verb): from Old French ble(s)miss-, lengthened stem of ble(s)mir ‘make pale, injure’; probably of Germanic origin.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/blemish--_gb_1.mp3|a small mark or flaw which spoils the appearance of something.
scorpion|Middle English: via Old French from Latin scorpio(n- ), based on Greek skorpios ‘scorpion’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/scorpion--_gb_1.mp3|a terrestrial arachnid with pincers similar to those of a lobster and a poisonous sting at the end of its jointed tail, which it can hold curved over its back. Most kinds live in tropical and subtropical areas.
moose|early 17th century: from Eastern Abnaki mos .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/moose--1_gb_1_abbr.mp3|a large deer with palmate antlers and a growth of skin hanging from the neck, native to northern Eurasia and northern North America.
laconic|mid 16th century (in the sense ‘Laconian’): via Latin from Greek Lakōnikos, from Lakōn ‘Laconia, Sparta’, the Spartans being known for their terse speech.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/laconic--_gb_1.mp3|(of a person, speech, or style of writing) using very few words.
errata|mid 16th century: from Latin, ‘error’, neuter past participle of errare ‘err’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/erratum--_gb_1.mp3|an error in printing or writing.
cnidarian|Etymology Unknown|adjective;noun|https://audio.oxforddictionaries.com/en/mp3/cnidarian_us_1.mp3|relating to or denoting cnidarians.;an aquatic invertebrate animal of the phylum Cnidaria, which comprises the coelenterates.
leisure|Middle English: from Old French leisir, based on Latin licere ‘be allowed’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/leisure--_gb_1.mp3|time when one is not working or occupied; free time.
oblique|late Middle English: from Latin obliquus .|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/oblique--_gb_1.mp3|neither parallel nor at right angles to a specified or implied line; slanting.;not expressed or done in a direct way.;denoting any case other than the nominative or vocative.
suffer|Middle English: from Anglo-Norman French suffrir, from Latin sufferre, from sub- ‘from below’ + ferre ‘to bear’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/suffer--_gb_1.mp3|experience or be subjected to (something bad or unpleasant).;tolerate.
frequently|Etymology Unknown|adverb|https://audio.oxforddictionaries.com/en/mp3/frequently_us_1.mp3|regularly or habitually; often
paraphrase|mid 16th century (as a noun): via Latin from Greek paraphrasis, from paraphrazein, from para- (expressing modification) + phrazein ‘tell’.|verb;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/paraphrase--_gb_1.mp3|express the meaning of (something written or spoken) using different words, especially to achieve greater clarity.
electrode|mid 19th century: from electric + Greek hodos ‘way’, on the pattern of anode and cathode .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/electrode--_gb_1.mp3|a conductor through which electricity enters or leaves an object, substance, or region.
tournedos|French, from tourner ‘to turn’ + dos ‘back’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/tournedos--_gb_3.mp3|a small round thick cut from a fillet of beef.
lebensraum|German, literally ‘living space’ (originally with reference to Germany).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/lebensraum--1_gb_1.8.mp3|the territory which a group, state, or nation believes is needed for its natural development.
doubt|Middle English: from Old French doute (noun), douter (verb), from Latin dubitare ‘hesitate’, from dubius ‘doubtful’ (see dubious).|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/doubt--_gb_1.mp3|a feeling of uncertainty or lack of conviction.
ascites|late Middle English: via late Latin from Greek askitēs, from askos ‘wineskin’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/ascites--_gb_1.mp3|the accumulation of fluid in the peritoneal cavity, causing abdominal swelling.
holobenthic|Unknown|adjective|/home/pi/holobenthic.mp3|inhabiting the deep sea during all stages of life
expugnable|Unknown|adjective|/home/pi/expugnable.mp3|ácapable of being conquered or taken by storm
centipede|mid 17th century: from French centipède or Latin centipeda, from centum ‘a hundred’ + pes, ped- ‘foot’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/centipede--_gb_1.mp3|a predatory myriapod invertebrate with a flattened elongated body composed of many segments. Most segments bear a single pair of legs, the front pair being modified as poison fangs.
acetone|mid 19th century: from acetic acid + -one.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/acetone--_gb_1.mp3|a colourless volatile liquid ketone made by oxidizing isopropanol, used as an organic solvent and synthetic reagent.
triquetra|late 16th century (originally denoting a triangle): from Latin, feminine of triquetrus ‘three-cornered’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/triquetra--_gb_2.mp3|a symmetrical triangular ornament of three interlaced arcs used on metalwork and stone crosses.
paramahamsa|Unknown|noun|/home/pi/paramahamsa.mp3|a sannyasi of the highest level of spiritual development in which union with ultimate reality is attained
forbidden|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/forbidden_us_3.mp3|not allowed; banned
maverick|mid 19th century: from the name of Samuel A. Maverick (1803–70), a Texas rancher who did not brand his cattle.|noun;adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/maverick--_gb_1.mp3|an unorthodox or independent-minded person.;an unbranded calf or yearling.
oxygenate|late 18th century: from French oxygéner ‘supply with oxygen’ + -ate3.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/oxygenate--_gb_1.mp3|supply, treat, charge, or enrich with oxygen.
cordillera|early 18th century: from Spanish, from cordilla, diminutive of cuerda ‘cord’, from Latin chorda (see cord).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/cordillera--_gb_1.8.mp3|a system or group of parallel mountain ranges together with the intervening plateaux and other features, especially in the Andes or the Rockies.
pensive|late Middle English: from Old French pensif, -ive, from penser ‘think’, from Latin pensare ‘ponder’, frequentative of pendere ‘weigh’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/pensive--_gb_1.mp3|engaged in, involving, or reflecting deep or serious thought.
vermicide|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/vermicide_us_1.mp3|a substance that is poisonous to worms.
zocalo|Spanish|noun|https://audio.oxforddictionaries.com/en/mp3/zocalo_us_1.mp3|(in Mexico) a public square or plaza.
satchel|Middle English: from Old French sachel, from Latin saccellus ‘small bag’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/satchel--_gb_1.mp3|a bag carried on the shoulder by a long strap and closed by a flap, used especially for school books.
vandalize|Etymology Unknown|verb|https://audio.oxforddictionaries.com/en/mp3/vandalize_us_1.mp3|deliberately destroy or damage (public or private property)
crux|mid 17th century (denoting a representation of a cross, chiefly in crux ansata ‘ankh’, literally ‘cross with a handle’): from Latin, literally ‘cross’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/crux--_gb_1.mp3|the decisive or most important point at issue.
taciturn|late 18th century: from Latin taciturnus, from tacitus (see tacit).|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/taciturn--_gb_1.mp3|(of a person) reserved or uncommunicative in speech; saying little.
bicameral|mid 19th century: from bi- ‘two’ + Latin camera ‘chamber’ + -al.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/bicameral--_gb_1.mp3|(of a legislative body) having two chambers.
fanfaronade|mid 17th century: from French fanfaronnade, from fanfaron ‘braggart’, from fanfare (see fanfare).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/fanfaronade--_gb_1.8.mp3|arrogant or boastful talk.;a fanfare.
senecio|modern Latin, from Latin, literally ‘old man, groundsel’, with reference to the hairy white fruits.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/senecio--_gb_1.8.mp3|a plant of a genus that includes the ragworts and groundsels. Many kinds are cultivated as ornamentals and some are poisonous weeds of grassland.
sundae|late 19th century (originally US): perhaps an alteration of Sunday, either because the dish was made with ice cream left over from Sunday and sold cheaply on the Monday, or because it was sold only on Sundays, a practice devised (according to some accounts) to circumvent Sunday legislation.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/sundae--_gb_1.mp3|a dish of ice cream with added ingredients such as fruit, nuts, and syrup.
devastavit|Unknown|noun|/home/pi/devastavit.mp3|mismanagement or waste of the goods of a deceased person by the deceased's executor who may thereby be liable; a writ whereby a remedy for devastavit is sought
sibilant|mid 17th century: from Latin sibilant- ‘hissing’, from the verb sibilare .|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/sibilant--_gb_1.mp3|making or characterized by a hissing sound.;(of a speech sound) sounded with a hissing effect, for example s, sh.
janitor|mid 16th century: from Latin, from janua ‘door’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/janitor--_gb_1.mp3|a caretaker or doorkeeper of a building.
coup|late 18th century: from French, from medieval Latin colpus ‘blow’ (see cope1).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/coup--_gb_1.mp3|a sudden, violent, and illegal seizure of power from a government.;an instance of successfully achieving something difficult.;a direct pocketing of the cue ball, which is a foul stroke.;(among some North American Indian peoples) an act of touching an armed enemy in battle as a deed of bravery, or an act of first touching an item of the enemy's in order to claim it.
tangents|late 16th century (in tangent (sense 3 of the noun) and as an adjective): from Latin tangent- ‘touching’, from the verb tangere .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/tangent--_gb_1.mp3|a straight line or plane that touches a curve or curved surface at a point, but if extended does not cross it at that point.;a completely different line of thought or action.;the trigonometric function that is equal to the ratio of the sides (other than the hypotenuse) opposite and adjacent to an angle in a right-angled triangle.
Castalia|Unknown|noun|/home/pi/Castalia.mp3|áa source of poetic inspiration
hariolation|Unknown|noun|/home/pi/hariolation.mp3|the act or process of deductioná:águesswork
lucky|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/lucky_us_1.mp3|having, bringing, or resulting from good luck
Odin|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/odin_1_us_1.mp3|the supreme god and creator, god of victory and the dead. Wednesday is named after him.
eerily|Etymology Unknown|adverb|https://audio.oxforddictionaries.com/en/mp3/eerily_us_1.mp3|in a strange and frightening manner
kerril|Unknown|noun|/home/pi/kerril.mp3|a sea snake (Kerilia jerdoni) of the Asiatic coast from the Persian gulf to Japan
oppugn|late Middle English (in the sense ‘fight against’): from Latin oppugnare ‘attack, besiege’, from ob- ‘against’ + pugnare ‘to fight’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/oppugn--_gb_1.mp3|question the truth or validity of.
liana|late 18th century: from French liane ‘clematis, liana’, of unknown origin.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/liana--_gb_1.mp3|a woody climbing plant that hangs from trees, especially in tropical rainforests.
cartouches|early 17th century: from French cartouche (masculine noun), earlier cartoche, from Italian cartoccio, from carta, from Latin carta, charta (see card1).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/cartouche--_gb_1.mp3|a carved tablet or drawing representing a scroll with rolled-up ends, used ornamentally or bearing an inscription.;an ornate frame around a design or inscription.
developer|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/developer_us_1.mp3|a person or thing that develops something
streamlet|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/streamlet_us_1.mp3|a small stream.
parishioner|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/parishioner_us_1.mp3|an inhabitant of a parish, especially one who belongs to or attends a particular church.
reggae|1960s: perhaps related to Jamaican English rege-rege ‘quarrel, row’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/reggae--_gb_2.mp3|a style of popular music with a strongly accented subsidiary beat, originating in Jamaica. Reggae evolved in the late 1960s from ska and other local variations on calypso and rhythm and blues, and became widely known in the 1970s through the work of Bob Marley; its lyrics are much influenced by Rastafarian ideas.
thespian|late 17th century: from the name Thespis + -ian.|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/thespian--_gb_1.mp3|relating to drama and the theatre.
sangfroid|mid 18th century: from French sang-froid, literally ‘cold blood’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/sangfroid--_gb_1.4.mp3|composure or coolness shown in danger or under trying circumstances.
heleoplankton|Unknown|noun|/home/pi/heleoplankton.mp3|plankton typical of small bodies of still fresh water
excision|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/excision_us_1.mp3|the action of excising something
vinaigrette|French, diminutive of vinaigre ‘vinegar’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/vinaigrette--_gb_1.mp3|salad dressing of oil, wine vinegar, and seasoning.;a small ornamental bottle for holding smelling salts.
circuitous|mid 17th century: from medieval Latin circuitosus, from circuitus ‘a way around’ (see circuit).|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/circuitous--_gb_1.mp3|(of a route or journey) longer than the most direct way.
commissioner|late Middle English: from medieval Latin commissionarius, from Latin commissio (see commission).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/commissioner--_gb_1.mp3|a person appointed to a role on or by a commission.
bulgogi|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/bulgogi_us_1.mp3|a Korean dish of thin beef slices marinated and grilled on a barbecue.
Aitutakian|Unknown|adjective|/home/pi/Aitutakian.mp3|of or concerning Aitutaki Island
gagaku|Unknown|noun|/home/pi/gagaku.mp3|the ancient court music of Japan
timber|Old English in the sense ‘a building’, also ‘building material’, of Germanic origin; related to German Zimmer ‘room’, from an Indo-European root meaning ‘build’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/timber--_gb_1.mp3|wood prepared for use in building and carpentry.;personal qualities or character.
telamon|early 17th century: via Latin from Greek telamōnes, plural of Telamōn, the name of a mythical hero.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/telamon--1_gb_2.mp3|a male figure used as a pillar to support an entablature or other structure.
trapezoid|early 18th century: from modern Latin trapezoides, from late Greek trapezoeidēs, from trapeza ‘table’ (see trapezium).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/trapezoid--_gb_3.mp3|a quadrilateral with no sides parallel.;a small carpal bone in the base of the hand, articulating with the metacarpal of the index finger.
quadrillion|late 17th century: from French, from million, by substitution of the prefix quadri-  ‘four’ for the initial letters.|number|//ssl.gstatic.com/dictionary/static/sounds/20200429/quadrillion--_gb_1.mp3|a thousand raised to the power of five (1015).
realm|Middle English rewme, from Old French reaume, from Latin regimen ‘government’ (see regimen). The spelling with -l- (standard from c.  1600) was influenced by Old French reiel ‘royal’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/realm--_gb_1.mp3|a kingdom.
satisfactory|late Middle English (in the sense ‘leading to the atonement of sin’): from Old French satisfactoire or medieval Latin satisfactorius, from Latin satisfacere ‘to content’ (see satisfy). The current senses date from the mid 17th century.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/satisfactory--_gb_1.mp3|fulfilling expectations or needs; acceptable, though not outstanding or perfect.
atomic|late 17th century: from modern Latin atomicus, from atomus ‘indivisible’ (see atom).|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/atomic--_gb_1.mp3|relating to an atom or atoms.
Orwellian|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/orwellian_us_1.mp3|characteristic of the writings of George Orwell, especially with reference to his dystopian account of a future totalitarian state in Nineteen Eighty-Four
laser|1960s: acronym from light amplification by stimulated emission of radiation, on the pattern of maser.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/laser--_gb_1.mp3|a device that generates an intense beam of coherent monochromatic light (or other electromagnetic radiation) by stimulated emission of photons from excited atoms or molecules. Lasers are used in drilling and cutting, alignment and guidance, and in surgery; the optical properties are exploited in holography, reading barcodes, and in recording and playing compact discs.
concatenate|late 15th century (as an adjective): from late Latin concatenat- ‘linked together’, from the verb concatenare, from con- ‘together’ + catenare, from catena ‘chain’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/xconcatenate--_gb_1.8.mp3|link (things) together in a chain or series.
vital|late Middle English (describing the animating principle of living beings, also in vital (sense 2 of the adjective)): via Old French from Latin vitalis, from vita ‘life’. The sense ‘essential’ dates from the early 17th century.|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/vital--_gb_1.mp3|absolutely necessary; essential.;full of energy; lively.;fatal.
posada|Spanish, from posar ‘to lodge’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/posada--_gb_1.mp3|(in Spanish-speaking countries or regions) a hotel or inn.
famous|late Middle English: from Old French fameus, from Latin famosus ‘famed’, from fama (see fame).|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/famous--_gb_1.mp3|known about by many people.;excellent.
mandrill|mid 18th century: probably from man + drill3.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/mandrill--_gb_1.mp3|a large West African baboon with a red and blue face, the male having a blue rump.
duodenum|late Middle English: from medieval Latin, from duodeni ‘in twelves’, its length being equivalent to the breadth of approximately twelve fingers.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/duodenum--_gb_1.mp3|the first part of the small intestine immediately beyond the stomach, leading to the jejunum.
agreement|late Middle English: from Old French, from agreer ‘make agreeable to’ (see agree).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/agreement--_gb_1.mp3|harmony or accordance in opinion or feeling.
rambla|late 18th century. Partly from Spanish rambla dry river-bed, road built on a dry river-bed, and partly from Catalan rambla, both ultimately from Arabic ramla sandy tract, sandy ground, feminine noun corresponding to raml sand|noun|/home/pi/rambla.mp3|Especially in cities of eastern Spain: a broad street built on a dry river-bed; specifically (now usually in plural) (the name of) an avenue in central Barcelona.;In Spain: the dry bed of a temporary or transitory stream, often used as a road; a ravine, usually a waterless one.
ponytail|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/ponytail_us_1.mp3|a hairstyle in which the hair is drawn back and tied at the back of the head, causing it to hang down like a pony's tail.
enumerated|early 17th century: from Latin enumerat- ‘counted out’, from the verb enumerare, from e- (variant of ex- ) ‘out’ + numerus ‘number’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/enumerate--_gb_1.mp3|mention (a number of things) one by one.
portmanteau|mid 16th century: from French portemanteau, from porter ‘carry’ + manteau ‘mantle’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/portmanteau--_gb_1.mp3|a large travelling bag, typically made of stiff leather and opening into two equal parts.;a word blending the sounds and combining the meanings of two others, for example motel or brunch.
frigate|late 16th century (denoting a light, fast boat which was rowed or sailed): from French frégate, from Italian fregata, of unknown origin.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/frigate--_gb_1.mp3|a warship with a mixed armament, generally lighter than a destroyer (in the US navy, heavier) and of a kind originally introduced for convoy escort work.
sesame|late Middle English: via Latin from Greek sēsamon, sēsamē ; compare with Arabic simsim .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/sesame--_gb_1.mp3|a tall annual herbaceous plant of tropical and subtropical areas of the Old World, cultivated for its oil-rich seeds.
stipulate|early 17th century: from Latin stipulat- ‘demanded as a formal promise’, from the verb stipulari .|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/stipulate--_gb_1.8.mp3|demand or specify (a requirement), typically as part of an agreement.
fisticuffs|early 17th century: probably from obsolete fisty  ‘relating to the fists or to fist fighting’ + cuff2.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/fisticuffs--_gb_1.mp3|fighting with the fists.
retinol|1960s: from retina + -ol.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/retinol--_gb_1.8.mp3|a yellow compound found in green and yellow vegetables, egg yolk, and fish-liver oil. It is essential for growth and for vision in dim light.
turret|Middle English: from Old French tourete, diminutive of tour ‘tower’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/turret--_gb_2.mp3|a small tower on top of a larger tower or at the corner of a building or wall, typically of a castle.
moraine|late 18th century: from French, from Italian dialect morena, from French dialect morre ‘snout’; related to morion1.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/moraine--_gb_1.mp3|a mass of rocks and sediment carried down and deposited by a glacier, typically as ridges at its edges or extremity.
clover|Old English clāfre, of Germanic origin; related to Dutch klaver and German Klee .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/clover--_gb_1.mp3|a herbaceous plant of the pea family, with dense globular flower heads and leaves which are typically three-lobed. It is an important fodder and rotational crop.
